Frequency,Amp,Phase
125278,0.000133514,28.1195
129028,4.05E-05,257.009
132778,6.44E-05,74.1083
136528,0.000126362,34.92
140278,0.000135899,21.9012
144028,3.81E-05,145.602
147778,8.11E-05,-20.9894
151528,0.000114441,2.30161
155278,0.000133514,35.3485
159028,4.05E-05,190.486
162778,0.000150204,-43.1928
166528,0.000154972,207.823
170278,0.000119209,-33.1513
174028,4.29E-05,18.3307
177778,4.29E-05,84.1608
181528,0.000197887,-42.3468
185278,8.11E-05,155.281
189028,0.00010252,137.384
192778,5.96E-05,105.216
196528,8.11E-05,12.5079
200278,0.000200272,63.2098
204028,0.000143051,39.0948
207778,0.00020504,92.6147
211528,0.000150204,26.911
215278,0.000183582,72.1088
219028,0.00027895,85.8417
222778,0.000154972,33.8324
226528,5.48E-05,27.5922
230278,3.81E-05,-46.3898
234028,5.72E-05,139.625
237778,0.000185966,113.17
241528,0.000150204,41.2701
245278,5.48E-05,8.84947
249028,0.000114441,-50.3998
252778,0.000185966,-22.8461
256528,3.81E-05,256.251
260278,7.15E-05,-62.287
264028,0.00015974,217.678
267778,0.00010252,-78.6017
271528,0.000116825,-8.38806
275278,3.10E-05,186.674
279028,1.67E-05,198.649
282778,2.62E-05,150.721
286528,0.000157356,46.8951
290278,0.000109673,39.0399
294028,7.63E-05,53.9594
297778,0.000166893,56.4423
301528,8.11E-05,173.068
305278,4.05E-05,-19.1876
309028,4.77E-05,-30.987
312778,0.000133514,209.02
316528,0.000126362,232.18
320278,0.000150204,236.233
324028,0.000107288,220.973
327778,7.87E-05,59.4745
331528,0.00014782,123.783
335278,0.000236034,-45.0824
339028,0.000188351,-87.2809
342778,1.91E-05,203.066
346528,0.000178814,31.8768
350278,8.82E-05,114.247
354028,8.82E-05,74.8444
357778,7.63E-05,-62.9791
361528,5.25E-05,240.134
365278,2.86E-05,-15.1776
369028,0.000166893,226.214
372778,7.15E-05,31.5363
376528,0.000164509,153.49
380278,7.87E-05,-60.8588
384028,0.00010252,-75.1849
387778,6.44E-05,266.171
391528,0.000114441,58.8922
395278,9.30E-05,264.457
399028,5.25E-05,229.85
402778,7.87E-05,15.672
406528,0.000112057,199.319
410278,0.000104904,-47.2137
414028,0.000116825,7.20154
417778,0.000162125,263.128
421528,0.000171661,106.425
425278,0.000138283,-59.4415
429028,0.000104904,98.5144
432778,6.68E-05,205.615
436528,0.000171661,-75.5035
440278,0.000107288,105.161
444028,5.25E-05,-55.2557
447778,4.29E-05,206.384
451528,6.20E-05,153.765
455278,4.77E-05,68.1097
459028,9.78E-05,145.294
462778,0.000145435,88.5223
466528,4.05E-05,-24.6368
470278,0.000100136,9.11316
474028,0.000100136,100.569
477778,0.00015974,46.6754
481528,0.000107288,-27.0209
485278,2.62E-05,66.0443
489028,4.29E-05,-23.6591
492778,6.68E-05,140.79
496528,8.82E-05,264.842
500278,3.34E-05,-43.7421
504028,0.000114441,36.3373
507778,0.000112057,258.481
511528,6.44E-05,-49.4
515278,0.000107288,258.745
519028,5.48E-05,230.466
522778,3.58E-05,152.292
526528,0.000185966,221.457
530278,8.34E-05,32.3492
534028,8.82E-05,232.256
537778,0.000114441,-62.4628
541528,5.96E-05,-5.63049
545278,5.48E-05,-5.76233
549028,7.63E-05,96.0974
552778,0.000133514,239.156
556528,1.91E-05,70.7904
560278,7.39E-05,18.6823
564028,9.54E-05,47.2028
567778,7.87E-05,3.44421
571528,6.20E-05,-37.6447
575278,7.15E-05,-71.3507
579028,2.15E-05,-36.3922
582778,8.34E-05,264.622
586528,0.000197887,47.796
590278,9.54E-05,-16.6608
594028,8.58E-05,243.715
597778,9.54E-05,14.2108
601528,5.25E-05,134.835
605278,9.78E-05,-68.0109
609028,4.77E-05,144.415
612778,0.000164509,-53.5748
616528,0.000114441,261.722
620278,4.53E-05,243.781
624028,4.53E-05,22.4506
627778,3.58E-05,-64.9896
631528,5.72E-05,-73.5809
635278,3.81E-05,255.855
639028,4.77E-05,40.2264
642778,7.87E-05,182.324
646528,0.000154972,-66.5497
650278,9.78E-05,257.569
654028,2.62E-05,-34.3048
657778,0.000114441,245.473
661528,4.77E-05,-35.2826
665278,0.000209808,244.836
669028,6.44E-05,-63.9349
672778,4.77E-05,-27.1417
676528,0.000152588,-56.3873
680278,0.000107288,-21.1322
684028,0.000150204,18.4845
687778,0.00010252,22.4396
691528,2.38E-05,144.657
695278,4.53E-05,-48.1476
699028,0.000157356,-67.879
702778,0.000104904,245.253
706528,2.86E-05,-6.92688
710278,2.62E-05,-34.5795
714028,0.000164509,-73.6908
717778,0.000202656,-41.6437
721528,0.000107288,-4.00452
725278,5.01E-05,205.615
729028,0.000150204,249.011
732778,0.000150204,7.78381
736528,2.15E-05,17.0673
740278,0.00013113,-70.0323
744028,0.000133514,9.40979
747778,0.000183582,246.209
751528,5.72E-05,227.346
755278,0.000119209,30.163
759028,0.00014782,12.2113
762778,0.000202656,15.8368
766528,0.000128746,-10.2448
770278,7.63E-05,52.9047
774028,5.48E-05,-47.016
